id	name	UNCONSTRAINED	MIRIAM	COMPOSITION	InChI	compartment	replacement_id	DB LINK	SMILES
1-amino-propan-2-one-3-phosphate	1-amino-propan-2-one-3-phosphate	false	NULL	NULL	NULL	c	r1080	NULL	C(C(=O)COP(=O)(O)O)N
1-carboxyvinyl carboxyphosphonate	1-carboxyvinyl carboxyphosphonate	false	NULL	NULL	NULL	c	r1092	"(PUBCHEM ""360637"" NIL |hopkinso| 3317068639 NIL NIL)"	C(C(OP(C(=O)[OH])([OH])=O)=[CH2])([OH])=O
1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	false	NULL	NULL	NULL	c	r290	NULL	NULL
1-deoxy-D-xylulose 5-phosphate	1-deoxy-D-xylulose 5-phosphate	false	NULL	NULL	NULL	c	r1114	"(LIGAND-CPD ""C11437"" NIL |kr| 3346617699 NIL NIL)"	C(OP(O)(=O)O)C(C(C(=O)C)O)O
1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	false	NULL	NULL	NULL	c	r335	NULL	NULL
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	false	NULL	NULL	NULL	c	r312	NULL	NULL
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	false	NULL	NULL	NULL	c	r1125	"(LIGAND-CPD ""C11811"" NIL |kr| 3346617698 NIL NIL)"	CC(CO)=CCOP(OP(O)(=O)O)(=O)O
1-kestotriose	1-kestotriose	false	NULL	NULL	NULL	c	r1136	NULL	C(O)C3(OC(OC1(OC(CO)C(C1O)O)COC2(OC(CO)C(C(O)2)O)CO)C(C(C3O)O)O)
1-octanal	1-octanal	false	NULL	NULL	NULL	c	r1158	"(CAS ""124-13-0"")"	[CH](CCCCCCC)=O
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	false	NULL	NULL	NULL	c	r353	NULL	NULL
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	false	NULL	NULL	NULL	c	r351	NULL	NULL
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	false	NULL	NULL	NULL	c	r1180	NULL	C(NC(CCN[C-](=O)C(C(C)(C)COP(OP(O)(OC[CH]2(C([CH](OC1([CH](O)[CH]([CH-]([O-]1)COP(OP(OP(O)(=O)O)([O-])=O)(=O)O)O))[CH](O2)[N-]3(c4(ncnc(c(N=C3)4)N)))[O-]))=O)(=O)O)O)=O)CS
"2,3-bis(3-hydroxymyristoyl)-beta-D-glucosaminyl 1-phosphate"	"2,3-bis(3-hydroxymyristoyl)-beta-D-glucosaminyl 1-phosphate"	false	NULL	NULL	NULL	c	r1191	"(LIGAND-CPD ""C04824"" NIL |sreddy| 3299606423 NIL NIL)"	CCCCCCCCCCCC(O)CC(=O)NC1(C(OC(CO)C(O)C(OC(=O)CC(O)CCCCCCCCCCC)1)OP(=O)(O)O)
"2,3-dihydro-2,3-dihydroxybenzoate"	"2,3-dihydro-2,3-dihydroxybenzoate"	false	NULL	NULL	NULL	c	r1203	"(LIGAND-CPD ""C04171"" NIL |kr| 3346617701 NIL NIL)"	C(O)(=O)C1(=CC=CC(C1O)O)
"2,3-dihydroxy-3-methylvalerate"	"2,3-dihydroxy-3-methylvalerate"	false	NULL	NULL	NULL	c	r1214	"(LIGAND-CPD ""C06007"" NIL |kr| 3346617701 NIL NIL)"	CC(CC)(O)C(C(O)=O)O
"2,3-dihydroxy-isovalerate"	"2,3-dihydroxy-isovalerate"	false	NULL	NULL	NULL	c	r1236	"(LIGAND-CPD ""C04272"" NIL |kr| 3346617699 NIL NIL)"	CC(C(C(=O)O)O)(C)O
"2,5-diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate"	"2,5-diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate"	false	NULL	NULL	NULL	c	r1258	NULL	c2(=O)(c(N)c(NC1(C(O)C(C(COP(=O)(O)O)O1)O))nc(N)[nH]2)
"2,5-didehydro-D-gluconate"	"2,5-didehydro-D-gluconate"	false	NULL	NULL	NULL	c	r1269	"(LIGAND-CPD ""C02780"" NIL |kr| 3346617699 NIL NIL)$(PUBCHEM ""102287"" NIL |hopkinso| 3317071514 NIL NIL)"	C(C(C(C(C(CO)=O)O)O)=O)(O)=O
"2,5-dihydro-5-oxofuran-2-acetate"	"2,5-dihydro-5-oxofuran-2-acetate"	false	NULL	NULL	NULL	c	r1280	"(LIGAND-CPD ""C04105"" NIL |fulcher| 3349718150 NIL NIL)$(CAS ""6666-46-2"")"	C1(C=CC(O1)CC(O)=O)=O
"2,5-dioxopentanoate"	"2,5-dioxopentanoate"	false	NULL	NULL	NULL	c	r1314	NULL	[CH](CCC(C(O)=O)=O)=O
2-aceto-2-hydroxy-butyrate	2-aceto-2-hydroxy-butyrate	false	NULL	NULL	NULL	c	r1325	"(LIGAND-CPD ""C06006"" NIL |keseler| 3342801886 NIL NIL)$(PUBCHEM ""21"" NIL |keseler| 3342801886 NIL NIL)$(CAS ""3142-65-2"")"	CC(C(CC)(O)C(=O)O)=O
2-acetolactate	2-acetolactate	false	NULL	NULL	NULL	c	r1336	"(PUBCHEM ""440878"" NIL |keseler| 3342802103 NIL NIL)$(LIGAND-CPD ""C06010"" NIL |keseler| 3342802103 NIL NIL)"	CC(=O)C(C)(O)C(=O)O
"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate"	"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate"	false	NULL	NULL	NULL	c	r1347	NULL	C1(Nc2(c(N=C1COP(OP(O)(O)=O)(O)=O)c(nc(n2)N)O))
"2-carboxy-5-oxo-2,5-dihydrofuran-2-acetate"	"2-carboxy-5-oxo-2,5-dihydrofuran-2-acetate"	false	NULL	NULL	NULL	c	r1357	NULL	C1(OC(C=C1)(CC(O)=O)C(O)=O)=O
"2-cis,6-trans,10-trans-geranylgeranyl diphosphate"	"2-cis,6-trans,10-trans-geranylgeranyl diphosphate"	false	NULL	NULL	NULL	c	r1379	NULL	CC(=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O)C
"2-C-methyl-D-erythritol-2,4-cyclodiphosphate"	"2-C-methyl-D-erythritol-2,4-cyclodiphosphate"	false	NULL	NULL	NULL	c	r1390	"(LIGAND-CPD ""C11453"" NIL |kr| 3346617700 NIL NIL)"	CC1(CO)(OP(=O)(O)OP(=O)(O)OCC(O)1)
2-C-methyl-D-erythritol-4-phosphate	2-C-methyl-D-erythritol-4-phosphate	false	NULL	NULL	NULL	c	r1401	"(LIGAND-CPD ""C11434"" NIL |kr| 3346617700 NIL NIL)"	C(OP(O)(O)=O)C(O)C(O)(C)CO
2-dehydro-3-deoxy-D-galactonate	2-dehydro-3-deoxy-D-galactonate	false	NULL	NULL	NULL	c	r1412	"(LIGAND-CPD ""C01216"" NIL |kr| 3346617699 NIL NIL)"	C(O)[CH]([CH](O)[CH2]C(=O)C(O)=O)O
2-dehydro-3-deoxy-D-galactonate-6-phosphate	2-dehydro-3-deoxy-D-galactonate-6-phosphate	false	NULL	NULL	NULL	c	r1424	"(LIGAND-CPD ""C01286"" NIL |kr| 3346617700 NIL NIL)$(CAS ""32120-43-7"")"	C([CH](O)[CH](O)[CH2]C(=O)C(O)=O)OP(=O)(O)O
2-dehydro-3-deoxy-D-gluconate	2-dehydro-3-deoxy-D-gluconate	false	NULL	NULL	NULL	c	r1435	"(LIGAND-CPD ""C00204"" NIL |kr| 3346617699 NIL NIL)$(CAS ""17510-99-5"")"	C(=O)(C(=O)[CH2][CH](O)[CH](O)CO)O
2-dehydro-D-gluconate_input	2-dehydro-D-gluconate	true	NULL	NULL	NULL	b	r88	NULL	NULL
2-dehydro-D-gluconate_drain	2-dehydro-D-gluconate	true	NULL	NULL	NULL	b	r195	NULL	NULL
2-dehydro-D-gluconate[extracellular]	2-dehydro-D-gluconate	false	NULL	NULL	NULL	e	r277	NULL	NULL
2-dehydro-D-gluconate	2-dehydro-D-gluconate	false	NULL	NULL	NULL	c	r1446	"(LIGAND-CPD ""C00629"" NIL |kr| 3346617700 NIL NIL)"	C(=O)(C(C(C(C(O)CO)O)O)=O)O
2-dehydropantoate	2-dehydropantoate	false	NULL	NULL	NULL	c	r1457	"(LIGAND-CPD ""C00966"" NIL |kr| 3346617701 NIL NIL)"	C(O)(=O)C(=O)C(CO)(C)C
2-hydroxy-3-oxosuccinate	2-hydroxy-3-oxosuccinate	false	NULL	NULL	NULL	c	r1468	NULL	C(C(C(C(O)=O)=O)O)(O)=O
2-hydroxy-5-carboxymethylmuconate semialdehyde	2-hydroxy-5-carboxymethylmuconate semialdehyde	false	NULL	NULL	NULL	c	r1479	NULL	C(O)(=O)C(=CC=C([CH]=O)CC(O)=O)O
2-hydroxyethanesulfonate	2-hydroxyethanesulfonate	false	NULL	NULL	NULL	c	r319	NULL	NULL
2-hydroxyethanesulfonate[extracellular]	2-hydroxyethanesulfonate	false	NULL	NULL	NULL	e	r320	NULL	NULL
2-hydroxyethanesulfonate_input	2-hydroxyethanesulfonate	true	NULL	NULL	NULL	b	r321	NULL	NULL
"2-hydroxyhepta-2,4-dienedioate"	"2-hydroxyhepta-2,4-dienedioate"	false	NULL	NULL	NULL	c	r1490	NULL	C(=O)(O)CC=CC=C(O)C(=O)O
2-isopropyl-3-oxosuccinate	2-isopropyl-3-oxosuccinate	false	NULL	NULL	NULL	c	r1501	NULL	C(=O)(O)C(C(C)C)C(=O)C(=O)O
2-isopropylmalate	2-isopropylmalate	false	NULL	NULL	NULL	c	r1512	"(LIGAND-CPD ""C02504"" NIL |kr| 3346617700 NIL NIL)"	C(=O)(CC(O)(C(C)C)C(O)=O)O
2-keto-3-deoxy-6-phospho-gluconate	2-keto-3-deoxy-6-phospho-gluconate	false	NULL	NULL	NULL	c	r1523	"(LIGAND-CPD ""C04442"" NIL |kr| 3346617701 NIL NIL)$(CAS ""27244-54-8"")"	C([CH](O)[CH](O)[CH2]C(=O)C(O)=O)OP(=O)(O)O
2-keto-3-methyl-valerate	2-keto-3-methyl-valerate	false	NULL	NULL	NULL	c	r414	"(LIGAND-CPD ""C00671"" NIL |kr| 3346617699 NIL NIL)$(CAS ""1460-34-0"")"	CCC(C(C(O)=O)=O)C
2-ketoisocaproate	2-ketoisocaproate	false	NULL	NULL	NULL	c	r425	"(LIGAND-CPD ""C00233"" NIL |kr| 3346617700 NIL NIL)$(CAS ""816-66-0"")"	CC(C)CC(C(O)=O)=O
2-keto-isovalerate	2-keto-isovalerate	false	NULL	NULL	NULL	c	r436	"(LIGAND-CPD ""C00141"" NIL |kr| 3346617699 NIL NIL)$(CAS ""759-05-7"")"	CC(C(C(O)=O)=O)C
2-keto-myo-inositol	2-keto-myo-inositol	false	NULL	NULL	NULL	c	r447	NULL	C1(=O)(C(O)C(O)C(O)C(O)C(O)1)
2-maleylacetate	2-maleylacetate	false	NULL	NULL	NULL	c	r458	"(UM-BBD-CPD ""c0099"" NIL |kawakami| 3278346018 NIL NIL)"	C(=O)([O-])C=CC(=O)CC([O-])=O
2-methyl-3-hydroxybutyryl-CoA	2-methyl-3-hydroxybutyryl-CoA	false	NULL	NULL	NULL	c	r469	NULL	[CH]1([CH](O)[CH]([CH](COP(O)(=O)OP(=O)(OCC(C)(C)C(O)C(NCCC(NCCSC(=O)C(C(C)O)C)=O)=O)O)O1)OP(O)(O)=O)(n3(cnc2(c(N)ncnc23)))
2-methylacetoacetyl-CoA	2-methylacetoacetyl-CoA	false	NULL	NULL	NULL	c	r480	"(CAS ""6712-01-2"")"	[CH]1([CH](O)[CH]([CH](COP(O)(=O)OP(=O)(OCC(C)(C)C(O)C(NCCC(NCCSC(C(C(=O)C)C)=O)=O)=O)O)O1)OP(O)(O)=O)(n3(cnc2(c(ncnc23)N)))
2-methylbutanal	2-methylbutanal	false	NULL	NULL	NULL	c	r490	"(CAS ""96-17-3"")"	CCC(C)[CH]=O
2-methylbutanol	2-methylbutanol	false	NULL	NULL	NULL	c	r501	NULL	CCC(CO)C
2-methyl-cis-aconitate	2-methyl-cis-aconitate	false	NULL	NULL	NULL	c	r522	"(CAS ""99-98-9"" NIL |kr| 3346617699 NIL NIL)$(LIGAND-CPD ""C04225"" NIL |keseler| 3342221465 NIL NIL)"	C(O)(=O)CC(=C(C(O)=O)C)C(O)=O
2-methylcitrate	2-methylcitrate	false	NULL	NULL	NULL	c	r532	"(CAS ""96-17-3"" NIL |kr| 3346617699 NIL NIL)$(LIGAND-CPD ""C02225"" NIL |kr| 3346617699 NIL NIL)"	CC(C(=O)O)C(O)(CC(=O)O)C(=O)O
2-nitropropane	2-nitropropane	false	NULL	NULL	NULL	c	r552	"(CAS ""79-46-9"")"	CC(C)[N+]([O-])=O
"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol"	"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol"	false	NULL	NULL	NULL	c	r553	NULL	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(C(C(OC)=CC(C=1C)O)O))C)C)C)C)C)C)C)CCC=C(C)C
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone"	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone"	false	NULL	NULL	NULL	c	r558	NULL	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(C(C(OC)=CC(C=1C)=O)=O))C)C)C)C)C)C)C)C
2-octaprenyl-6-hydroxyphenol	2-octaprenyl-6-hydroxyphenol	false	NULL	NULL	NULL	c	r560	"(LIGAND-CPD ""C05811"" NIL |kr| 3346617700 NIL NIL)"	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1(c(O)c(ccc1)O)
"2-octaprenyl-6-methoxy-1,4-benzoquinone"	"2-octaprenyl-6-methoxy-1,4-benzoquinone"	false	NULL	NULL	NULL	c	r561	NULL	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=CC(=O)C=C(OC)C1=O))C)C)C)C)C)C)C)C
2-octaprenyl-6-methoxyphenol	2-octaprenyl-6-methoxyphenol	false	NULL	NULL	NULL	c	r562	"(LIGAND-CPD ""C05812"" NIL |kr| 3346617699 NIL NIL)"	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCc1(cccc(OC)c1O))C)C)C)C)C)C)C)C
2-octaprenylphenol	2-octaprenylphenol	false	NULL	NULL	NULL	c	r563	"(LIGAND-CPD ""C05810"" NIL |kr| 3346617701 NIL NIL)"	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCc1(ccccc1O))C)C)C)C)C)C)C)C
2-oxo-3-hydroxy-4-phosphobutanoate	2-oxo-3-hydroxy-4-phosphobutanoate	false	NULL	NULL	NULL	c	r567	"(PUBCHEM ""440900"" NIL |keseler| 3342798911 NIL NIL)$(LIGAND-CPD ""C06054"" NIL |keseler| 3342798911 NIL NIL)"	C(C(=O)C(COP(O)(=O)O)O)([O-])=O
2-oxoarginine	2-oxoarginine	false	NULL	NULL	NULL	c	r54	NULL	NULL
2-oxobutanoate	2-oxobutanoate	false	NULL	NULL	NULL	c	r568	"(LIGAND-CPD ""C00109"" NIL |kr| 3346617701 NIL NIL)$(CAS ""600-18-0"")"	C(C(CC)=O)(O)=O
"2-oxo-hept-3-ene-1,7-dioate"	"2-oxo-hept-3-ene-1,7-dioate"	false	NULL	NULL	NULL	c	r569	NULL	C(CCC=CC(=O)C(O)=O)(O)=O
2-oxohept-3-enedioate	2-oxohept-3-enedioate	false	NULL	NULL	NULL	c	r571	NULL	C(CCC=CC(C(O)=O)=O)(O)=O
2-oxopent-4-enoate	2-oxopent-4-enoate	false	NULL	NULL	NULL	c	r572	"(LIGAND-CPD ""C00596"" NIL |kr| 3346617700 NIL NIL)$(CAS ""159694-16-3"")$(LIGAND-CPD ""c00596"" NIL |kawakami| 3278869950 NIL NIL)$(UM-BBD-CPD ""c0102"" NIL |kawakami| 3278869950 NIL NIL)"	C(O)(C(CC=C)=O)=O
2-phenylethanol	2-phenylethanol	false	NULL	NULL	NULL	c	r573	"(PUBCHEM ""6054"" NIL |caspi| 3345929186 NIL NIL)"	C(Cc1(ccccc1))O
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	false	NULL	NULL	NULL	c	r574	NULL	CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1(OC(C(O)C(O)1)n2(ccc(N)nc(=O)2))
2-phosphoglycerate	2-phosphoglycerate	false	NULL	NULL	NULL	c	r575	"(LIGAND-CPD ""C00631"" NIL |kr| 3346617700 NIL NIL)$(CAS ""2553-59-5"")"	C(O)C(OP(=O)(O)O)C(=O)O
2-phosphoglycolate	2-phosphoglycolate	false	NULL	NULL	NULL	c	r576	"(LIGAND-CPD ""C00988"" NIL |kaipa| 3311532634 NIL NIL)"	C(OP(O)(=O)O)C(O)=O
"2-pyrone-4,6-dicarboxylate"	"2-pyrone-4,6-dicarboxylate"	false	NULL	NULL	NULL	c	r577	NULL	C1(OC(=CC(=C1)C(O)=O)C(O)=O)(=O)
3-(4-methylpent-3-en-1-yl)-pent-2-enedioyl-CoA	3-(4-methylpent-3-en-1-yl)-pent-2-enedioyl-CoA	false	NULL	NULL	NULL	c	r578	"(LIGAND-CPD ""C01291"" NIL |sreddy| 3298240330 NIL NIL)"	CC(C)=CCCC(=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1(OC(C(O)C(OP(=O)(O)O)1)n3(cnc2(c(N)ncnc23))))CC=O
"3,4-dihydroxy-2-butanone-4-P"	"3,4-dihydroxy-2-butanone-4-P"	false	NULL	NULL	NULL	c	r579	NULL	CC(C(O)COP(=O)(O)O)=O
"3,4-dihydroxyphenylacetaldehyde"	"3,4-dihydroxyphenylacetaldehyde"	false	NULL	NULL	NULL	c	r580	"(LIGAND-CPD ""C04043"" NIL |sreddy| 3298309802 NIL NIL)"	C(=O)Cc1(cc(c(cc1)O)O)
"3,4-dihydroxyphenylacetate"	"3,4-dihydroxyphenylacetate"	false	NULL	NULL	NULL	c	r582	"(CAS ""102-32-9"")"	C(O)(=O)Cc1(ccc(c(c1)O)O)
"3-carboxy-cis,cis-muconate"	"3-carboxy-cis,cis-muconate"	false	NULL	NULL	NULL	c	r585	NULL	C(=O)(O)C(C=CC(O)=O)=CC(=O)O
3-cyanopyridine	3-cyanopyridine	false	NULL	NULL	NULL	c	r586	"(NCI ""17558"")$(CAS ""100-54-9"")"	C(C1(C=NC=CC=1))#N
3-dehydroquinate	3-dehydroquinate	false	NULL	NULL	NULL	c	r587	"(LIGAND-CPD ""C00944"" NIL |kr| 3346617699 NIL NIL)$(CAS ""10534-44-8"")"	C(O)(=O)C1([CH2][CH](O)[CH](O)C([CH2]1)=O)O
3-dehydro-shikimate	3-dehydro-shikimate	false	NULL	NULL	NULL	c	r588	"(CAS ""10457-99-5"" NIL |kr| 3346617701 NIL NIL)$(LIGAND-CPD ""C02637"" NIL |kr| 3346617701 NIL NIL)$(CAS ""2922-42-1"")"	C(=O)(O)C1([CH2][CH](O)[CH](O)C(=O)[CH]=1)
3-demethylubiquinone-8	3-demethylubiquinone-8	false	NULL	NULL	NULL	c	r589	NULL	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1(=C(C)C(=O)C(O)=C(OC)C(=O)1)
3-demethylubiquinone-9	3-demethylubiquinone-9	false	NULL	NULL	NULL	c	r590	NULL	CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=CCC1(=C(C(C(OC)=C(O)C(=O)1)=O)C)
3-deoxy-D-arabino-heptulosonate-7-phosphate	3-deoxy-D-arabino-heptulosonate-7-phosphate	false	NULL	NULL	NULL	c	r591	"(LIGAND-CPD ""C04691"" NIL |kr| 3346617700 NIL NIL)$(CAS ""2627-73-8"")"	C(=O)(C(=O)CC(O)C(C(COP(O)(O)=O)O)O)O
3-deoxy-D-manno-octulosonate	3-deoxy-D-manno-octulosonate	false	NULL	NULL	NULL	c	r593	"(LIGAND-CPD ""C01187"" NIL |keseler| 3341775540 NIL NIL)"	C(C(=O)CC(C(C(C(O)CO)O)O)O)(O)=O
3-deoxy-D-manno-octulosonate 8-P	3-deoxy-D-manno-octulosonate 8-P	false	NULL	NULL	NULL	c	r594	"(LIGAND-CPD ""C04478"" NIL |kr| 3346617699 NIL NIL)"	C(OP(=O)(O)O)C(C(O)C(C(O)CC(=O)C(=O)O)O)O
3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r364	NULL	NULL
3hcddec5eACP	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r365	NULL	NULL
3hcmrs7eACP	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r366	NULL	NULL
3hcpalm9eACP	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r367	NULL	NULL
3hcvac11eACP	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r369	NULL	NULL
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	false	NULL	NULL	NULL	c	r19	NULL	NULL
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	false	NULL	NULL	NULL	c	r20	NULL	NULL
3hddecACP	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r370	NULL	NULL
3hdecACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r371	NULL	NULL
3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	false	NULL	NULL	NULL	c	r21	NULL	NULL
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	false	NULL	NULL	NULL	c	r22	NULL	NULL
3hhexACP	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r372	NULL	NULL
3hmrsACP	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r373	NULL	NULL
3hocoa	(S)-3-Hydroxyoctanoyl-CoA	false	NULL	NULL	NULL	c	r23	NULL	NULL
3hoctaACP	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	false	NULL	NULL	NULL	c	r375	NULL	NULL
