id	name	equation	EC. Number	genes	LB	UB	objective_coefficient	compartment	subsystem	SBO TERM	REPLACEMENT NAME																																																																																																																																																																											
MIRXN_43	Hexanoate uptake	hxa_input => hxa[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_43																																																																																																																																																																											
MIRXN_44	Isocitrate uptake	isocitrate_input => isocitrate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_44																																																																																																																																																																											
MIRXN_45	K+ uptake	K+_input => K+[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_45																																																																																																																																																																											
MIRXN_46	L-alanine uptake	L-alanine_input => L-alanine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_46																																																																																																																																																																											
MIRXN_101	L-arabinose uptake	L-arabinose_input => L-arabinose[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_101																																																																																																																																																																											
MIRXN_47	L-arginine uptake	L-arginine_input => L-arginine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_47																																																																																																																																																																											
MIRXN_102	Aspartate uptake	L-aspartate_input => L-aspartate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_102																																																																																																																																																																											
MIRXN_49	L-carnitine uptake	L-carnitine_input => L-carnitine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_49																																																																																																																																																																											
MIRXN_50	L-cysteine uptake	L-cysteine_input => L-cysteine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_50																																																																																																																																																																											
MIRXN_51	L-glutamate uptake	L-glutamate_input => L-glutamate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_51																																																																																																																																																																											
MIRXN_52	L-glutamine uptake	L-glutamine_input => L-glutamine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_52																																																																																																																																																																											
MIRXN_53	L-histidine uptake	L-histidine_input => L-histidine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_53																																																																																																																																																																											
MIRXN_54	L-isoleucine uptake	L-isoleucine_input => L-isoleucine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_54																																																																																																																																																																											
MIRXN_55	L-lactate uptake	L-lactate_input => L-lactate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_55																																																																																																																																																																											
MIRXN_56	L-leucine uptake	L-leucine_input => L-leucine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_56																																																																																																																																																																											
MIRXN_57	L-lysine uptake	L-lysine_input => L-lysine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_57																																																																																																																																																																											
MIRXN_59	L-methionine uptake	L-methionine_input => L-methionine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_59																																																																																																																																																																											
MIRXN_78	Ornithine uptake	L-ornithine_input => L-ornithine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_78																																																																																																																																																																											
MIRXN_60	L-phenylalanine uptake	L-phenylalanine_input => L-phenylalanine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_60																																																																																																																																																																											
MIRXN_61	L-proline uptake	L-proline_input => L-proline[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_61																																																																																																																																																																											
MIRXN_62	L-serine uptake	L-serine_input => L-serine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_62																																																																																																																																																																											
MIRXN_63	L-threonine uptake	L-threonine_input => L-threonine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_63																																																																																																																																																																											
MIRXN_103	L-tryptophan uptake	L-tryptophan_input => L-tryptophan[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_103																																																																																																																																																																											
MIRXN_64	L-tyrosine uptake	L-tyrosine_input => L-tyrosine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_64																																																																																																																																																																											
MIRXN_65	L-valine uptake	L-valine_input => L-valine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_65																																																																																																																																																																											
MIRXN_58	L-malate uptake	malate_input => malate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_58																																																																																																																																																																											
MIRXN_67	Malonate uptake	malonate_input => malonate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_67																																																																																																																																																																											
MIRXN_70	Maltose uptake	maltose_input => maltose[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_70																																																																																																																																																																											
MIRXN_26	D-mannitol uptake	mannitol_input => mannitol[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_26																																																																																																																																																																											
MIRXN_27	Mannose uptake	mannose_input => mannose[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_27																																																																																																																																																																											
MIRXN_99	Methanesulfonate uptake	methanesulfonate_input => methanesulfonate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_99																																																																																																																																																																											
MIRXN_66	Magnesium uptake	Mg2+_input => Mg2+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_66																																																																																																																																																																											
MIRXN_71	Manganere uptake	Mn2+_input => Mn2+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_71																																																																																																																																																																											
MIRXN_72	Molybdenum uptake	Mo2+_input => Mo2+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_72																																																																																																																																																																											
MIRXN_73	Na+ uptake	Na+_input => Na+[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_73																																																																																																																																																																											
MIRXN_74	Nicotinamide mononucleotide uptake	nicotinamide mononucleotide_input => nicotinamide mononucleotide[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_74																																																																																																																																																																											
MIRXN_76	Nitrite uptake	nitrite_input => nitrite[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_76																																																																																																																																																																											
MIRXN_75	Nitrate uptake	NO3-_input => NO3-[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_75																																																																																																																																																																											
MIRXN_77	O2 uptake	O2_input => O2[extracellular]	NULL	NULL	-100	100	NULL	c	Uptake	NULL	MIRXN_77																																																																																																																																																																											
MIRXN_100	pentanesulfonate uptake	pentanesulfonate_input => pentanesulfonate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_100																																																																																																																																																																											
MIRXN_79	Phosphate uptake	phosphate_input => phosphate[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_79																																																																																																																																																																											
MIRXN_80	Phosphonate uptake	phosphonate_input => phosphonate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_80																																																																																																																																																																											
MIRXN_4	4-hydroxybenzoate uptake	p-hydroxybenzoate_input => p-hydroxybenzoate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_4																																																																																																																																																																											
MIRXN_94	Heme uptake	protoheme IX_input => ATP + protoheme IX[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_94																																																																																																																																																																											
MIRXN_81	Putrescine uptake	putrescine_input => putrescine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_81																																																																																																																																																																											
MIRXN_35	Glycerol-3-phosphate uptake	sn-glycerol-3-phosphate_input => sn-glycerol-3-phosphate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_35																																																																																																																																																																											
MIRXN_82	Spermidine uptake	spermidine_input => spermidine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_82																																																																																																																																																																											
MIRXN_83	Succinate uptake	succinate_input => succinate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_83																																																																																																																																																																											
MIRXN_84	Sulfate uptake	sulfate_input => sulfate[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_84																																																																																																																																																																											
MIRXN_85	Taurine uptake	taurine_input => taurine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_85																																																																																																																																																																											
MIRXN_87	Thiosulfate uptake	thiosulfate_input => thiosulfate[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_87																																																																																																																																																																											
MIRXN_88	Trehalose uptake	trehalose_input => trehalose[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_88																																																																																																																																																																											
MIRXN_86	Tetradecanoate uptake	ttdca_input => ttdca[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_86																																																																																																																																																																											
MIRXN_89	Uptake of uracil	uracil_input => uracil[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_89																																																																																																																																																																											
MIRXN_95	Xanthine uptake	xanthine_input => xanthine[extracellular]	NULL	NULL	NULL	0	NULL	c	Uptake	NULL	MIRXN_95																																																																																																																																																																											
MIRXN_96	Zn2+ uptake	Zn2+_input => Zn2+[extracellular]	NULL	NULL	NULL	NULL	NULL	c	Uptake	NULL	MIRXN_96																																																																																																																																																																											
ENZRXN3EM_1585	Alginate export_DA for glycerol	0.68 mannuronate + 0.32 acetyl-mannuronate => alginate_glycerol_drain	NULL	1_3EM-165:1_PFLU0988:1_PFLU0987:1_3EM-166:1_PFLU0985:1_PFLU0984	0	0	NULL	c	Alginate Biosynthesis	NULL	ENZRXN3EM_1585																																																																																																																																																																											
ENZRXN3EM_1586	Alginate export_DA for fructose	0.81 mannuronate + 0.19 acetyl-mannuronate => alginate_fructose_drain	NULL	1_3EM-165:1_PFLU0988:1_PFLU0987:1_3EM-166:1_PFLU0985:1_PFLU0984	0	0	NULL	c	Alginate Biosynthesis	NULL	ENZRXN3EM_1586																																																																																																																																																																											
MERXN_1	2-Dehydro-D-gluconate excretion	2-dehydro-D-gluconate => 2-dehydro-D-gluconate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_1																																																																																																																																																																											
MERXN_67	3-phenylpropionate excretion	3-phenylpropionate => 3-phenylpropionate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_67																																																																																																																																																																											
MERXN_3	GABA excretion	4-aminobutyrate => 4-aminobutyrate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_3																																																																																																																																																																											
MERXN_5	Acetate excretion	acetate => acetate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_5																																																																																																																																																																											
MERXN_6	Allantoin excretion	allantoin => allantoin_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_6																																																																																																																																																																											
MERXN_2	alpha-ketoglutarate excretion	alpha-ketoglutarate => alpha-ketoglutarate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_2																																																																																																																																																																											
MERXN_7	Ammonia drain	ammonia => ammonia_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_7																																																																																																																																																																											
MERXN_9	ATP drain	ATP => ATP_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_9																																																																																																																																																																											
GROWTH	Export of biomass	BIOMASS => BIOMASS_drain	NULL	NULL	NULL	NULL	1	c	Excretion	NULL	GROWTH																																																																																																																																																																											
MERXN_11	Choline excretion	choline => choline_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_11																																																																																																																																																																											
MERXN_74	Choline sulfate excretion	choline sulfate => choline sulfate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_74																																																																																																																																																																											
MERXN_12	Citrate excretion	citrate => citrate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_12																																																																																																																																																																											
MERXN_13	CO2 excretion	CO2 => CO2_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_13																																																																																																																																																																											
MERXN_14	Cytosine excretion	cytosine => cytosine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_14																																																																																																																																																																											
MERXN_15	D-alanine excretion	D-alanine => D-alanine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_15																																																																																																																																																																											
MERXN_18	Decanoate excretion	dca => dca_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_18																																																																																																																																																																											
MERXN_16	D-cysteine excretion	D-cysteine => D-cysteine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_16																																																																																																																																																																											
MERXN_26	Dodecanoate excretion	ddca => ddca_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_26																																																																																																																																																																											
MERXN_19	Galactonate excretion	D-galactonate => D-galactonate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_19																																																																																																																																																																											
MERXN_68	D-glucarate excretion	D-glucarate => D-glucarate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_68																																																																																																																																																																											
MERXN_22	D-lactate excretion	D-lactate => D-lactate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_22																																																																																																																																																																											
MERXN_23	D-malate excretion	D-malate => D-malate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_23																																																																																																																																																																											
MERXN_25	D-methionine excretion	D-methionine => D-methionine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_25																																																																																																																																																																											
MERXN_17	D-serine excretion	D-serine => D-serine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_17																																																																																																																																																																											
MERXN_27	Fumarate excretion	fumarate => fumarate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_27																																																																																																																																																																											
MERXN_20	Gluconate excretion	gluconate => gluconate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_20																																																																																																																																																																											
MERXN_21	D-glyceraldehyde excretion	glyceraldehyde => glyceraldehyde_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_21																																																																																																																																																																											
MERXN_28	Glycerol excretion	glycerol => glycerol_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_28																																																																																																																																																																											
MERXN_30	Glycine excretion	glycine => glycine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_30																																																																																																																																																																											
MERXN_31	Glycolate excretion	glycolate => glycolate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_31																																																																																																																																																																											
MERXN_32	H+ excretion	H+ => H+_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_32																																																																																																																																																																											
MERXN_33	H2 excretion	H2 => H2_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_33																																																																																																																																																																											
MERXN_34	H2O excretion	H2O => H2O_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_34																																																																																																																																																																											
MERXN_10	Bicarbonate drain	HCO3- => HCO3-_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_10																																																																																																																																																																											
MERXN_35	Hexadecanoate excretion	hdca => hdca_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_35																																																																																																																																																																											
MERXN_71	Heme excretion	heme => heme _drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_71																																																																																																																																																																											
MERXN_69	Hg excretion	Hg0 => Hg0_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_69																																																																																																																																																																											
MERXN_60	Homoserine excretion	homoserine => homoserine_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_60																																																																																																																																																																											
MERXN_36	Hexanoate excretion	hxa => hxa_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_36																																																																																																																																																																											
MERXN_37	Isocitrate excretion	isocitrate => isocitrate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_37																																																																																																																																																																											
MERXN_38	K+ excretion	K+ => K+_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_38																																																																																																																																																																											
MERXN_39	L-alanine excretion	L-alanine => L-alanine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_39																																																																																																																																																																											
MERXN_40	L-arginine excretion	L-arginine => L-arginine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_40																																																																																																																																																																											
MERXN_41	L-aspartate excretion	L-aspartate => L-aspartate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_41																																																																																																																																																																											
MERXN_42	L-carnitine excretion	L-carnitine => L-carnitine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_42																																																																																																																																																																											
MERXN_43	L-cysteine excretion	L-cysteine => L-cysteine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_43																																																																																																																																																																											
MERXN_44	L-glutamate excretion	L-glutamate => L-glutamate_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_44																																																																																																																																																																											
MERXN_45	L-glutamine excretion	L-glutamine => L-glutamine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_45																																																																																																																																																																											
MERXN_46	L-histidine excretion	L-histidine => L-histidine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_46																																																																																																																																																																											
MERXN_47	L-isoleucine excretion	L-isoleucine => L-isoleucine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_47																																																																																																																																																																											
MERXN_48	L-lactate excretion	L-lactate => L-lactate_drain	NULL	NULL	NULL	NULL	NULL	c	Excretion	NULL	MERXN_48																																																																																																																																																																											
MERXN_49	L-leucine excretion	L-leucine => L-leucine_drain	NULL	NULL	NULL	0	NULL	c	Excretion	NULL	MERXN_49																																																																																																																																																																											
